,e_id,email_body,subject_line,user
3464,_4222.subject,"Hi Wilson,  We discussed asking the counterparties for opinion letters. Could you  outline what you think we should ask for, or alternatively, just draft it? Thanks,",MDEA,mann-k
3465,_4245.subject,"I've taken the liberty of drafting a form of extension letter to extend the  ILA until June 15. I suspect Reagan will be distributing to the commercial folks, but I thought  I would give you a heads up. David, I'm at work on revising the longer term doc. If you have your  preamble stuff ready, I'm happy to put it in now. Thanks,",Extension of ILA,mann-k
3466,_4249.subject,"What is your preference when there is a  conflict between the interim  agreement and the last draft (v23) of the ESMA. (For instance, the  definition of ancillary services.) Shall I just ignore the ILA, or does it  represent the customers' expectations? Kay",ILA/ESMA conflicts,mann-k
3467,_4264.subject,"I'm thinking my last email was unclear. I assume that someone from the commercial team will send (or has sent) the  extension letter to MDEA, YC, and Clarksdale's commercial reps for their  review. I assume that the  commercial reps with YC, MDEA, and Clarksdale  will get whatever legal input they want from their own lawyers if they think  it is necessary (may not), but as a courtesy, I sent drafts to the two  lawyers I know about. Kay",Clarification,mann-k
3468,_4266.subject,"1. =01&Ancillary Services=018 or =01&AS=018 means those services required b= y Entergy=01,s=20 interconnection agreement with MDEA or Entergy=01,s tariff. OR =01&Ancillary Services=018 or =01&AS=018 means those services recognized by=  Entergy=01,s=20 interconnect agreement with MDEA or Entergy=01,s tariff. 2.=01&Available Energy=018 means Energy that is available for sale on any g= iven day=20 that is in excess of MDEA=01,s Native Load. OR =01&Available Energy=018 means Energy that is available for sale on any giv= en day=20 that is in excess of (i) MDEA=01,s Native Load, and (ii) the Energy require= d to=20 be sold under any Existing Transactions, up to the total amount of Energy o= n=20 any day that can be produced from the Facilities.=20 3.=01&Available Energy=018 means Energy that is available for sale on any g= iven day=20 that is in excess of MDEA=01,s Native Load. OR =01&Available Energy=018 means Energy that is available for sale on any giv= en day=20 that is in excess of (i) MDEA=01,s Native Load, and (ii) the Energy require= d to=20 be sold under any Existing Transactions, up to the total amount of Energy o= n=20 any day that can be produced from the Facilities.=20 4.=01&Confirmation=018 means a confirmation of a transaction or transaction= s. OR =01&Confirmation=018 means the document provided for under the MPPSA or the=  MGPSA=20 and with the corresponding third party under a Back-to-Back Transaction or= =20 with EPMI which specifies the Product being bought or sold, the duration of= =20 the Transaction and the other terms, including price. A daily report of all= =20 hourly (or similarly short term) purchases and sales will be provided to th= e=20 Customer and shall serve as a Confirmation for those transactions under the= =20 MPPSA or MGPSA. 5.=01&Delivery Point=018 means the busbar of the respective Facilities loca= ted at=20 the interconnection between CPUC=01,s and YCPSC=01,s respective transmissio= n=20 systems at the 115 kV switching station at the respective interconnections= =20 with the Entergy transmission system. Or =01&Delivery Point=018 =01&Point of Delivery=018 or =01&POD=018 means (a) f= or power (i) the=20 interfaces  located at the interconnection between Clarksdale and Yazoo Cit= y=20 transmission systems at the  Entergy system, or (ii) the point specified in= =20 any Back-to-Back Transaction, EPMI Transaction or Structured Transaction at= =20 which Products are to be tendered under a Confirmation; (b) for natural gas= ,=20 (i) for Clarksdale, the point of interconnection between Texas Gas and=20 Clarksdale (ii) for Yazoo City, the interconnection between Southern Natura= l=20 Gas (Sonat) and Mississippi Valley Gas for the Yazoo City Power Plant (the= =20 Sonat Delivery Point) (iii) the interconnection between Mississippi Valley= =20 Gas (MVG) and the Yazoo City Power Plant (MVG Delivery Point), (iv) any poi= nt=20 where fuel is delivered as specified in a Fuel Transaction. 6.=01&Incentive Fee=018 means forty percent (40%) of the Savings and of the=  net=20 profit from external sales of the Cities=01, natural gas resources and the= =20 purchase of on-peak Energy, as calculated in accordance with Article III of= =20 this ILA. Or =01&Incentive Fee=018 means the fee described in [Section]. 7.=01&Market Price=018 is the price agreed by the parties to be paid by EPM= I in any=20 EPMI Transaction for the sale of Energy to third parties, or the amount to = be=20 paid to EPMI for the sale of Energy to the Cities and/or MDEA. or =01&Market Price=018 is the price agreed to (i) by any third party for the = sale or=20 purchase to or from EPMI or MDEA in a Back-to-Back Transaction, (ii) the=20 price paid by EPMI in any EPMI Transaction or (iii) by any third party=20 pursuant to any Structured Transaction.=20 8. =01&Protocols=018 shall mean the SPP Protocols duly adopted by SPP, incl= uding=20 any attachments or exhibits referenced thereby, as amended from time to tim= e,=20 containing the scheduling, operating, planning, reliability, and settlement= =20 (including customer registration) policies, rules, guidelines, procedures,= =20 standards, and criteria of SPP. For the purposes of determining=20 responsibilities and rights at a given time, the Protocols, as amended in= =20 accordance with the change procedure(s) described in the Protocols, in effe= ct=20 at the time of the performance or non-performance of an action, shall gover= n=20 with respect to that action. or =01&Protocols=018 shall mean the Protocols duly adopted by SPP, SERC, NERC,=  and/or=20 Entergy, including any attachments or exhibits referenced thereby, as amend= ed=20 from time to time, containing the scheduling, operating, planning,=20 reliability, and settlement (including customer registration) policies,=20 rules, guidelines, procedures, standards, and operations criteria. For the= =20 purposes of determining responsibilities and rights at a given time, the=20 Protocols, as amended in accordance with the change procedure(s) described = in=20 the Protocols, in effect at the time of the performance or non-performance = of=20 an action, shall govern with respect to that action. =20 9.=01&Savings=018 shall mean the difference between 1) the total costs to M= DEA=20 and/or the Cities of a Transaction, and 2) the total costs of MDEA and/or t= he=20 Cities avoided or displaced by the Transaction, which difference shall be= =20 calculated as described in Article III of this ILA. not defined in rev 23 definitions",comparison of definitions - 1st in each pair is from letter  agreeement,mann-k
3469,_4268.subject,"Both of these are capitalized terms in rev 23. Is there a difference? Load  Projection Model is in definitions, but Load Forecasting Model is used quite  a bit. ckm",Load forecasting model and load projection model,mann-k
3470,_427.subject,"Hi Nancy,  I am planning to make the changes which arose out of our meeting with VEPCO. When we met with them, we agreed that we would accept all the changes in this  draft, then blackline against it. I tried to do this to this document, then  realized that this is a compared document as opposed to a draft marked with  changes. Can you email me unmarked version which contains all these changes,  and I'll start from there. I apologize if I already have the clean draft, but I want to be certain that  I am working from the correct version. Thanks,",VEPCO PPA.DOC,mann-k
3471,_4276.subject,"Hi Doug,  I hear you are working on the Midway deal. Me, too. I want to go back to  the restaurant  you suggested with the remarkable decor and wine list (was it  Burns, something like that?). I look forward to working with you on this one. Kay",Midway,mann-k
3472,_4286.subject,"Lisa/Rose,  Attached is a brief letter which has been approved by Herman, and which is= =20 now presented for your review and approval. Greg Krause is the commercial= =20 lead, currently in Florida. His cell phone number is 713 857 0369. Kay    Mr. Alberto Gonzalez Transmission Business Manager 4200 West Flagler Street Miami, Florida  33134   Re: Letter of Agreement Regarding Interconnection Development Services for= =20 the Midway Development Company, L.L.C. Dear Mr. Gonzalez:  Consistent with the results of the Feasibility and Facilities Studies and= =20 discussions that have been held to date between Florida Power & Light Compa= ny=20 (=01&FPL=018) and Midway Development Company, L.L.C and its designees refer= red to=20 as =01&MDC=018, by this letter MDC authorizes FPL to perform the necessary = studies,=20 analysis and other activities required to develop and support a schedule th= e=20 necessary for a potential power project to interconnect with FPL=01,s=20 transmission grid system and receive back-feed by March 15, 2002.=20  MDC authorizes FPL to utilize the one hundred twenty-two thousand dollars= =20 ($122,000.00) currently on deposit with FPL for Feasibility and Facility=20 Studies to cover the cost of this work  The scope of this work will be determined by MDC and FPL based on ongoing= =20 discussions and may be altered or modified by mutual consent from time to= =20 time. =20  FPL will inform MDC periodically of their progress and if additional funds= =20 are required to finance this work. =20  Please acknowledge concurrence to the above between FPL and MDC by executin= g=20 duplicate originals of this Letter of Agreement prior to returning to FPL f= or=20 final execution. Sincerely,",Proposed letter to FPL for further project development work for a  project in florida,mann-k
3473,_4290.subject,"Here are my initial comments:  There's no clear triggering event which would expedite the internal approval  process. For instance, paragraph 3 is a current obligation (re  landscaping). It would be easier to process this agreement if the  effectiveness of this agreement commences when we  file for a building  permit. I understand that we would have to pay some of this prior to the  time the permit is issued, but again, magic words help. Paragraph 6 on right of first refusal for power. Looks like a free call for  the next 30 years. Just want to make sure you've bought in on this. Other  than the obvious valuation impact, it could impact a purchaser's ability to  obtain project financing. Kay",Deerfield development agreement,mann-k
3474,_431.subject,"Hi Kathy,  I'm in the office today, if you want to finish up ABB. Ben Jacoby and Jody  Pierce will need copies, if you will be making copies for distribution. We can talk about the LM6000 change order #2, also. Thanks,",This and that,mann-k
3475,_4315.subject,"Good afternoon,  I am circulating a draft of the long term agreement for your review. There  are still holes, but hopefully it sets out the basic commercial deal. Please note that  we are anticipating a Monday meeting. Therefore, we have  sent this out without the usual internal review. We hope to have a set of exhibits shortly. Talk to you soon,  Kay",Energy Management Agreement,mann-k
3476,_4319.subject,"Hi Greg,  I just wanted to mention that if we are going to bust the percentage rule on  the option payment, there is no incremental damage in having the option  payment credited to the purchase price of the land. As for officers of the development company, I would use Dave Duran. Ben  holds a power of attorney, but isn't an officer. Hope you get email! Kay",Options,mann-k
3477,_432.subject,"Gentlemen,  I thought I would pull together a brief email outlining where we are on  certain tasks. Here goes:  Hub Agency Agreement - Gregg recently met with Peoples to discuss some of the  outstanding commercial issues relating to the Hub Agency Agreement. Roy is  putting together a summary of the outcome of that meeting. Gregg and I  decided it would be better to not send Peoples the current draft of the  agreement which has been circulated internally, but instead will send a draft  which incorporates the outcome of these discussions. Memo regarding restricted activities - David has prepared a draft for Enron's  review. Here's the draft:  Gregg and I need to review it. Gregg and Peoples have been working on the grandfathered transaction list. Since both sides are running behind on this,  David prepared a very straight  forward amenment to the LLC agreement, exending the time frame for finishing  the task. Here it is:    Policies - Gregg ""Policy Man"" Penman has been working on a credit policy,  cash management policy, risk management policy, and probably a couple of  others I'm forgetting. Revolving line of credit - Gregg has been working the internal Enron system  to get approval for a $50mm line of credit for MEH. He has raised the issue  of Peoples needing to provide a guarantee for their half. Also, it may be  necessary or advisable to document that the line of credit will be paid  before any distributions are made to either member. This is still under  internal review at Enron. I will check around to see if Corp (the lender)  has a form of credit facility we should use. Miscellaneous: Decide about services agreement Confidentiality agreements  Transfer pricing documentation Other agreements (ISDA, GISB, Peaking Agency, Third Party Master) Board resolution appointing officers/managers Budget and marketing plan  Other administrative functions (per Gregg's Business Setup Items list)  Hope this is helpful. Kay",Status of MEH activities,mann-k
3478,_4320.subject,"Hello. The commercial team  has asked that I forward this document to you for  review. It is a development agreement for a project in Florida. We have  attempted to address the accounting/E-Next issues, but please advise of any  desired changes. Thank you,",Deerfield development agreement,mann-k
3479,_4330.subject,"Mark Haedicke approved the hiring of King & Spalding for this matter. I will  drop Mr. Derrick a voice mail, but I would faint if he objected. John, we need to talk about the sale of the LLC, and the generation of a  draft doc re same. Please let me know if you are available today to discuss  this transaction with Sr. Jacoby and me. Additionally, it would be helpful  to discuss the tolling arrangement with Ken. Thanks,",Midway,mann-k
3480,_4331.subject,I haven't heard anything from David or Scott. Have you heard anything from  Marvin or Bob? Is there a meeting confirmed for Monday? I'm on another conference call re landfill. Yikes. Kay,MDEA,mann-k
3481,_4335.subject,"Ben,  I made a minor adjustment to the LOI re: exclusivity. Policy states that any time we sign up to exclusivity we are supposed to get  it approved by Mark Metts, Tim Detmering and the CEO of the affected business  unit. Seems a little silly in this case, but it can't hurt. (yes, I know we  didn't do it with the turbine stuff)  Kay",TECO,mann-k
3482,_4345.subject,"As requested, here is the current draft of the Midway LOI. The counter party  has not seen this draft yet, so this is still preliminary. I'm reviewing the term sheet re toll. Kay",Midway LOI (prototype for Ft P),mann-k
3483,_441.subject,"Hi guys,  I want to make sure that you are comfortable with whatever services are being  provided by Piper Rudnick, so that there won't be any surprises when the bill  comes in. Could you give me a brief outline of their scope? Thanks,",Livingston County Tour of Lincoln Energy Center,mann-k
3484,_442.subject,"Here's the Risk Management Policy Gregg has been working on for MEH. Jeff, I don't know if you have seen this, so I thought I would float it by  you. David, I'm sending it to you so that you can comment about any concerns you  might have relating to the LLC agreement. Thanks,",MEH Risk Management Policy - Revised,mann-k
3485,_4421.subject,"I'm working through the ""agent for"" issue, and thought I would share the  info. I've asked our local counsel for  a bit more direct answer (ie, his  opinion). Kay",Joint agency as reseller of power (mdea/clarksdale),mann-k
3486,_4435.subject,"I have a phone number on a post it note on my cabinet, just to the right of  where my computer would be if I was there. It is a lawyers name (which of  course I can't remember), male, with a 212 or 202 phone number. It may be  David something or other. Could you email me that name and number? Do you know if there is a way for me to save my emails that I have in folders? Bet the weather is better than this in San Fran. Kay",phone number,mann-k
3487,_446.subject,"Gorman's will be picking up/delivering on Tues/Fri. They had Mon/Thurs  available, but Monday am is too hard to remember. Besides, Delmis may be  able to bring our clothes in on Tuesdays, and I'm generally home early on  Friday. Our driver's name is David. His cell phone is 713 545 4186. We can call him  if we ever need pick up/delivery on a different day. He will leave us a sack today. How's that for cool? Kay",Gorman's,mann-k
3488,_4531.subject,"Hi Mike,  Sorry I missed you when you returned by call this am. I have some concerns about the voice mail you left re: assignment language. Enron can't stay on the hook for payment if the agreement is assigned, as  this would bust the financing/accounting arrangement. What we have tried to  do to meet your concerns is to see that ABB has a contract with a party which  is as financially sound as Enron by adding the guaranty language. This  addresses ABB's request that the party with the payment obligation have the  ""financial wherewithall"" to make the payments. This is a big change from  where we were in the last contract. I've had a request to get an approximate storage cost (monthly) for budgetary  purposes. This is in connection with the buy back arrangement. Can you give  me a guesstimate? Thanks,",Contract,mann-k
3489,_458.subject,"I am attaching a redline of a revised version of the document formerly known  as the PPA. This is compared against the August 7 draft. I am sending it without anyone else reading it (a gutsy and foolhardy move),  so it is subject to further Enron review. Thanks,",Aug 15 draft of CEC,mann-k
3490,_463.subject,"In speaking with Allyson, she believes we need to have the responses the  Public Staff's data request no later than sometime next week. The Staff  wants to have a meeting or conference call to discuss our responses during  the week of August 28th. Therefore, Allyson suggests that we have a call  this week to discuss how and when we will pull this information together. Sounds like a good idea. Please let me know when you are available for the call this week. I suspect  it will take between 30-45 minutes. Also, please let me know if you have NOT  received a copy of the data request, as these should have arrived via company  mail. Thanks,",Public Staff Data Request,mann-k
3491,_469.subject,"I'm flying to somewhere (probably DC) tonight, returning on Friday. Ozzie is  making the travel arrangements, so you don't need to do anything. I'll let  you know what else I find out. Thanks,",Travel,mann-k
3492,_470.subject,"Virginia Power has raised a question about wanting some type of guaranty or  other form of performance security should an Enron LLC sign the contract. What can we propose (or exclude) under the contemplated structure? Thanks,",VEPCO,mann-k
3493,_472.subject,"I'm headed to Virginia tonight, and should be back Friday am. Could we push  back the conference call to the afternoon? Heather will have the same travel  schedule. Thanks,",Conference call Friday,mann-k
3494,_483.subject,"Kathy,  Could you please accommodate Karen's request? If you would like, you can  just send it to me and I will get it to her. If you have delivered my  original to me I can make make her a copy. Thanks,",WestLB Equipment Contracts,mann-k
3495,_486.subject,"Hi Mike,  In a meeting Friday afternoon with Ben Jacoby, he mentioned that he didnt  want the change order signed quite yet. I suspect he wants to review it  before it is signed, and he's on vacation this week. Kay",Change Order #2 to LM6000 Purchase Agreement,mann-k
3496,_496.subject,"Could you please go through the option agreement I have in my directory on  O. It is under Option Agreements, and it is the only document there. It  should be called Fehr land option, or something similiar. Please go search  and make Optionor plural throughout, and make the grammar match. I started  making the changes, but got distracted from the task. Thanks,",A small task,mann-k
3497,_509.subject,"Hi Guys,  Is the 501D in storage? If not, when will it be delivered? I'm asking in  connection with information to be provided in the CPCN process. Thanks,",501D for Edgecombe Energy Project,mann-k
3498,_51.subject,"Jeff:  Here's a draft for your review:    I suggest that the payment terms for the offshore contract require the intial  payment to be made within 7 business days of execution. That way, we can  sign this up next week. Kay",Letter Agreement,mann-k
3499,_515.subject,"Bill,   I'm attaching an electronic copy of the letter we sent to Westinghouse. If  you email me your fax number, I'll fax you their response. Thanks,",Westinghouse claim/Gleason,mann-k
3500,_52.subject,"Gentlemen:  I have been advised by J. Nassos that Peoples (through WestLB) will be  exercising the ABB option today. I have asked that they send me a copy of the  notice of exercise of option, and I left Mike Sandridge a voice mail telling  him to expect it this afternoon. Please let me know if you have any questions. Kay",Peoples/ABB,mann-k
3501,_526.subject,"It would be very helpful if you could participate, or have your designee  participate. Sorry for  the short notice (what else is new). Perhaps we can  also arrange a discussion about the interconnection agreement. I'm out this am, but will pick up voice mail. Thanks,",Edgecombe Energy and Capacity Contract,mann-k
3502,_530.subject,There's a meeting with a cast of characters to discuss the Westinhouse  warranty issues. It is tomorrow (Thurs) at 1230. Do you have any interest  in sitting in? Kay,Westinghouse/Gleason Meeting Agenda,mann-k
3503,_54.subject,"Team Vitro:  I wanted to run these changes by you before sending them to Jeff Smith. Jeff S. has lobbied for deleting the language on assignment, and state that  assignment of the consolidation agreement will be subject to the same terms,  etc. as the other 2 contracts. He also provide alternative language which  appears to be close to what was in the previous draft. Since I didn't know  the genesis of the language in the consolidation agreement, so I thought I  would check with you first. I eliminated 5 (a) because the contracts allow for partial termination.",Vitro consolidation agreement,mann-k
3504,_549.subject,"Here is a rough draft of the Fehr option. Herman, you will be happy to know  that this one is much shorter. It needs some clean up, but this should be enough to get comments going. Kay",Fehr option,mann-k
3505,_551.subject,"Hi Jo,  I left you a voice mail, but being an email addict I thought I would send you  a note as well. Our son, Michael is in a Montessori kindergarten, which we have decided may  not be most suitable for him. We discussed it with Vivian Shudde, and she  suggested that I give you a call about the Grace School. My husband and I would like to visit Grace. We are wondering if it might be  possible to visit tomorrow. Please let me know what you think. Thanks,",Kindergarten,mann-k
3506,_568.subject,"I'm hearing rumblings about the need to perform various preliminary tasks  (survey work, etc.). I've given the admonition to avoid incurring hard costs  until the financing/accounting treatment has come together. That lead to the  question of what is a hard cost. I know construction/equipment obligations  are problems, studies generally ok. This leads me to the conclusion that a  geotechnical survey would be ok.  Am I safe here? Thanks,",VEPCO,mann-k
3507,_575.subject,"Just in case you haven't seen a copy, NCNG has filed a petition to intervene  in the CPCN proceeding. The reason stated is that it isn't clear who is  providing the natural gas. It has asked for the right to examine and  cross-examine witnesses, to file briefs and argue its position, etc. Kay",VEPCO/NCNG,mann-k
3508,_583.subject,"Here's the current redline, incorporating most of the comments made last  week. Herman, the language to address your biggest issue is in 2.3, page 7 on the  marked version. Thanks,",Enron/VEPCO CEC,mann-k
3509,_605.subject,"I believe I have compared the ENA Aug 29 version to the VEPCO Aug 21 version  of the Capacity and Energy Contract. I'm no expert at CompareRite, but I  believe it worked. Here goes:    Let me know if you have any trouble opening this document. Kay",Comparison version,mann-k
3510,_609.subject,"I'm looking at the Skelton option (Hart County, GA), and can't figure out  when it was executed. (must confess I didn't read EVERY word) Can anyone help  me with this? Thanks,",Skelton option,mann-k
3511,_613.subject,"Hi there. I have a personal errand to run (nothing bad) Thursday am, so I  won't be in  until around lunchtime. Can't WAIT to hear about your trip. I hope it was marvelous. We're looking at a private school for Michael (St.Francis). I think it is  time for a change. Kay",Welcome back,mann-k
3512,_615.subject,"Since the time frame is short, I wanted to give you an outline to mark  up/correct. Here's how I understand the deal:  People's has the Manlove gas storage facility. We have presented to People's  a nonphysical method to monetize it, similar to what was done with Bammel. Since this is a regulated asset, regulatory approval will be required, and  the consumers will receive part of the benefit of the monetization. The  essence of our deal is that Enron will receive 50% of the net earnings, up to  $25mm, as our fee. In consideration for this fee, Enron takes the financial,  legal, accounting and engineering lead. Peoples and Enron will work together  on the regulatory strategy formulation and implementation. We want to present a draft MOU to Peoples this week. The basic goals are:  Define scope of the agreement Define our lead role in the 4 stated areas Create exclusivity for Enron  Define financial arrangements (cost/profit) Get an acknowledgement that what was presented to them was proprietary, and  covered by our confidentiality agreement. Define term (5 years)   Each party bears their own internal costs, and third party costs are split  50/50, with prior approval. In that regard an immediate concern is getting  the engineering work kicked off. We want the agreement broad enough to cover physical withdrawals. We do not  want it specific to this field, since we want the benefit of the use of our  methodology. Please correct/supplement, etc. Thanks,",Manlove Monetization,mann-k
3513,_624.subject,"Hi Kay,  I'm looking for CA's with Peoples. I have one dated December 23, 1998. Do  you have anything else, especially one more current? Thanks,",CA with Peoples' Energy,mann-k
3514,_625.subject,"Hi Cheryl,  I've been asked to see what I can find out about the status of the generator  for the Westinghouse 501D. I've heard stories ranging from it was on the  Titantic, to it was in a rain storm. Can you shed any light on its status? Thanks,",Westinghouse 501D,mann-k
3515,_632.subject,"Laura,  Here's a draft for your review. If you find it acceptable, it should be  ready to go to Peoples as a draft. Please let  me know if you have any comments. Kay",Manlove LOI,mann-k
3516,_640.subject,"Suz,  Please cancel the 930/Wednesday conference call, as we are changing the  time. Please confirm with Sheila what time we will have the call this week. Thanks,",GE meeting,mann-k
3517,_642.subject,"We had a wonderful, quiet weekend. The wine was very good. I drank it  without food, as it was nice and light, which is how I like my reds. It  would have been good with a tomato based pasta, I think. How do I find out how much vacation I have? I know there's a system on the  intranet. I want to plan some time off this year, if possible. I know how  difficult it can get the longer I wait. Thursday I won't be in until around noon. More Michael stuff. Kay",Me again,mann-k
3518,_649.subject,"I'm going to be on this conference call (the David Tucker call) for a long  time. Would you mind getting me a Diet Coke? I have the money in here, but  I can't leave my desk. I should have thought ahead. Thanks!!!!! !",I have a favor to ask,mann-k
3519,_653.subject,"Hi Ben,  Hope Day 1 of your daughter's illustrious academic career went well. We are hoping to meet tomorrow at 130 Central in 38C2 to discuss GE issues. Sheila says you won't be here quite that soon, but it would be very helpful  if you could join us once you get here. Time permitting, we can discuss the  ESA transaction once we are done with the GE stuff. See you soon,  Kay",GE meeting,mann-k
3520,_654.subject,"We have scheduled a meeting to address the status of our discussions with GE,  and develop an organized approach to some issues. The meeting will be held  at 130 in EB 38C2. See you then,  Kay",GE meeting,mann-k
3521,_669.subject,"Laura,  Here's the revised version:    Here's a compared version so you will know what I did:    I'll work on the transfer price agreement today or this weekend so we will  have something to discuss. I'm planning on being in Chicago on Thursday if you would like to discuss any  of these matters. Kay",Manlove monetization,mann-k
3522,_674.subject,"David,  Please change the date on the draft so that we won't confuse it with the  prior drafts. I would delete ""specifically"" from 2.10 (c), and add ""or later ratify such  transaction"" (or something to that effect), just in case they later learn and  accept the transaction. In 2.10 (x), add to ""due to an inability to pay, or other credit reason"". In  (y), add ""or a contractual defense to payment"" [could be force majeure, etc]  Again in 2.10, third sentence from the end ""any interest, penalties,  attorneys fees and court costspayable by the Hub Shipper...;  3.3  Delete ""prior"" before ""approval"", and add ""or ratification"" in the  redlined section on refunds. Thanks,",Hub agency/my comments,mann-k
3523,_675.subject,"Here's what's hot, what's not:  Virginia Power - don't know how hot it is. We should know more on Monday. Chicago - just finished commenting on the Hub Agency agreement. I would like  to visit there next week. As you know, the Manlove monetization is still on  the list. Laura sent me her comments to the LOI yesterday - relatively mild,  so the LOI should be going to Peoples in the near future. You have the list  that Gregg prepared on commercial/legal to do's, and he and I will work on  those things next week. LM stuff. General consulting business; form 97-10 EPC for affiliate, form GE  contract (drafted by AK) on the list. ESA/ENA turbine sale. Sent Ben a draft MOU. Not a time hog. Miscellaneous development stuff - land options, etc, for Fred and Rusty. Not  very time consuming. Opps, I'm late for a meeting! I can give you whatever details you need. All  things considered, I'm in pretty good shape. Kay",Current stuff,mann-k
3524,_686.subject,"Hi Nancy,   We are getting geared up to look at the interconnection agreement and work on  the land lease. Just thought you might want to put it on the list of fun  things to do in the future. Kay",VEPCO,mann-k
3525,_689.subject,"I'm working on the agreement, but since it is taking longer than I had hope= d,=20 I wanted to send you my understanding of the basic premise for your input. = =20 I'll continue to refine/integrate this into a real document while you revie= w=20 the important stuff:    Hub Services.=20  =01&Hub Services=018 include (a) transactions entered into by MEH or the PG= L HUB=20 which are subject to Peoples' Hub FERC operating statement, and (b) all=20 physical transactions which require the use of the Manlove or Mohammad fiel= ds=20 (also known as =01&exchange=018 or =01&enhanced hub=018 services).=20  The profit [what is profit? Obviously before tax, but otherwise a GAAP=20 standard?] from Hub Services shall be split as follows:  ? For transactions entered into between February 15, 2000 through September= =20 30, 2000, the profit shall be equally shared. ? For transactions entered into from October 1, 2000 to September 30, 2001= =20 (and successive years until September 30, 2004), Peoples will receive the= =20 first $4 million in profit (cumulative, not annual), and will Enron receive= =20 the next $1million in profit. For any profit exceeding $5 million, Peoples= =20 and Enron will share any on a 50/50 basis. This arrangement excludes all agency fees paid to MEH. These fees will be= =20 shared 50/50 from the inception.=20  All internal costs incurred in the normal course of business will be borne = by=20 the party incurring same. All third party costs will be shared equally, and= =20 require MEH board approval. PERC Peaking Agreement  PERC has contracts with PGL and with NICOR contracts relating to the=20 ethane/propane peaking facility. The two existing contracts pay a total of= =20 $2million (approximate or exact) in demand charges annually. Any profit=20 exceeding $2 million in a year will be shared by Peoples and Enron on a 50/= 50=20 basis. If either of these contracts is extended in any form other than the current= =20 form, then Peoples and Enron share the demand charge and the profit on a=20 50/50 basis. Other Transactions=20  Peoples and Enron will split the profit from any transactions other than=20 those described above on a 50/50 basis.=20    Kay",Transfer price agreement,mann-k
3526,_691.subject,"I'm not particularly wild about many of the changes proposed by GE. Seems  that it would be a good idea to get a consensus on how to respond. Here are  the issues I see:  Indemnity issues: They should indemnify us from claims by their employees/subcontractors. Indemnity should be triggered by strict liability as well as negligence. What is a cognizant government? Limit of liability issues: They want to limit their indemnity obligation to 100% of purchase price. They want the limit of liability to apply to gross negligence, if possible. They don't want to clarify that they have to indemnify us for another party's  claim for consequentials (as in a personal injury claim). We've don't have anything concrete on assignment yet. Comments? Sheila has asked that we change Wednesday's call to 1100 Central, or 100  Central if 1100 doesn't work. Is this a problem? Kay   They should have to",GE Language,mann-k
3527,_695.subject,"Hi there. I changed our SF appointment to 900 on Friday. We have not been successful in getting a hotel room anywhere close to where  we are going. There is some big fashion convention in NY, and the rooms are  booked as far away as Danbury, Connecticut. Wild, isn't it? Heather says  there is a chance that we will fly out tomorrow, spend tomorrow night in NY,  then I can fly to Chicago Thursday am. I still plan on flying back on  Thursday pm so that I can make that 900 appointment. That may mean taking  the midnight flight, but what the heck. I'll keep you posted. Kay",Travel plans/St. Francis,mann-k
3528,_700.subject,"It currently appears that I will be on the road Wednesday and Thursday. Figures! I am going to send you a copy of the marked up interconnection agreement,  which has comments from various Enron people. I thought it might help you  think about which way to head. I would appreciate receiving an electronic file of the IC you prepared. Talk to you soon,  Kay",schedule,mann-k
3529,_702.subject,"Here's a draft. More names are being added, so feel free to suggest more  that we forgot/overlooked, including those external to Enron. Please send the info directly to Suzanne Adams. Lisa, Mitch and Chris, you will be on the next draft. Sorry for the  oversight this time around. Thank you,",VEPCO contact list,mann-k
3530,_709.subject,"I'm either losing my mind or my email. Did you send me an email re GE? I  thought I saw one, but now I can't find it. Is that a trick, and if so, how  do I do it? Could you resend it, please? Thanks,",Sanity check,mann-k
3531,_711.subject,"Ben,  We have a draft of the VEPCO ""standard"" interconnect, which has been  internally reviewed by Mitch Robinson and Christi Nicolay. Would you like a  copy? Nancy Wodka (Bracewell & Patterson, DC office) is outside counsel  working on it as well. We have had no substantive discussions with VEPCO  about this agreement at all. Let me know how you want to proceed. Thanks,",VEPCO Interconnection Agreement,mann-k
3532,_721.subject,"Laura,  Here is a draft transfer price agreement:    I'm sure we may want to add some details, etc, but at least this gives us a  beginning point. I'm hoping that you received the revised draft of the Manlove LOI on  September 8 which incorporated your initial comments to the first draft. We  can discuss what you see as the most efficient path forward, and any  additions, etc, you think are necessary. I look forward to seeing you on Thursday, and breathing some cooler air for a  change. My cell phone is 713 304 8716, should you need to reach me in the meanwhile. I will also be checking my voicemail, but will not be picking up email. Kay",Transfer price agreement,mann-k
3533,_722.subject,"I'm walking into the lion's den on Thursday (a/k/a Chicago) to discuss  various matters. I know Laura is anxious to move forward on the Manlove  deal. I thought it might be really neat if we (Legal) could have a game plan  for this deal, described by Laura as being ""like the Bammel deal"". If I can  get Laura to commit to a time, how about a conference call to discuss where  to go with this? I'm taking the long way to Chicago (via Connecticut), but will be checking  voice mail, etc. Thanks,",Manlove monetization,mann-k
3534,_731.subject,"Revised draft. Da Bulls toner is low, so the draft doesn't look good, and I  don't know where the others print. Guess I could just listen for it...",Manlove,mann-k
